title,subtitle,authors,categories,publisher,publication_year,isbn_10,isbn_13,language,page_count,edition,average_rating,ratings_count,copies,cover_image_path,description,source,source_identifier,source_url
Clean Code,A Handbook of Agile Software Craftsmanship,Robert C. Martin,Computer Science; Software Engineering; Programming,Prentice Hall,2008,0132350882,9780132350884,en,464,1st Edition,4.18,145000,3,https://covers.openlibrary.org/b/isbn/9780132350884-L.jpg,"Even bad code can function. But if code isn't clean, it can bring a development organization to its knees. This book presents principles, patterns, and practices for writing clean code.",Open Library,9780132350884,https://openlibrary.org/isbn/9780132350884
The Pragmatic Programmer,Your Journey to Mastery,David Thomas; Andrew Hunt,Computer Science; Software Engineering; Programming,Addison-Wesley,2019,0135957052,9780135957059,en,352,20th Anniversary Edition,4.31,60000,2,https://covers.openlibrary.org/b/isbn/9780135957059-L.jpg,"A guide to modern software development practices, from personal responsibility and career development to architectural techniques for keeping code flexible.",Open Library,9780135957059,https://openlibrary.org/isbn/9780135957059
Design Patterns,Elements of Reusable Object-Oriented Software,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,Computer Science; Software Engineering; Programming,Addison-Wesley,1994,0201633612,9780201633610,en,395,1st Edition,4.27,60000,2,https://covers.openlibrary.org/b/isbn/9780201633610-L.jpg,The classic 'Gang of Four' catalog of twenty-three reusable object-oriented design patterns.,Open Library,9780201633610,https://openlibrary.org/isbn/9780201633610
Refactoring,Improving the Design of Existing Code,Martin Fowler,Computer Science; Software Engineering; Programming,Addison-Wesley,2018,0134757599,9780134757599,en,448,2nd Edition,4.32,30000,2,https://covers.openlibrary.org/b/isbn/9780134757599-L.jpg,A catalog of refactorings with motivation and mechanics for improving the design of existing code without changing its behavior.,Open Library,9780134757599,https://openlibrary.org/isbn/9780134757599
Code Complete,A Practical Handbook of Software Construction,Steve McConnell,Computer Science; Software Engineering; Programming,Microsoft Press,2004,0735619670,9780735619678,en,960,2nd Edition,4.27,30000,2,https://covers.openlibrary.org/b/isbn/9780735619678-L.jpg,"Practical, hands-on advice for the whole life cycle of software construction, from design through testing.",Open Library,9780735619678,https://openlibrary.org/isbn/9780735619678
The Mythical Man-Month,Essays on Software Engineering,Frederick P. Brooks Jr.,Computer Science; Software Engineering; Project Management,Addison-Wesley,1995,0201835959,9780201835953,en,322,Anniversary Edition,4.16,25000,2,https://covers.openlibrary.org/b/isbn/9780201835953-L.jpg,"Classic essays on software project management, exploring why adding manpower to a late project makes it later.",Open Library,9780201835953,https://openlibrary.org/isbn/9780201835953
Structure and Interpretation of Computer Programs,,Harold Abelson; Gerald Jay Sussman; Julie Sussman,Computer Science; Programming; Education,MIT Press,1996,0262510871,9780262510875,en,657,2nd Edition,4.42,10000,2,https://covers.openlibrary.org/b/isbn/9780262510875-L.jpg,A foundational text on programming and computer science using the Scheme programming language.,Open Library,9780262510875,https://openlibrary.org/isbn/9780262510875
Introduction to Algorithms,,Thomas H. Cormen; Charles E. Leiserson; Ronald L. Rivest; Clifford Stein,Computer Science; Algorithms; Programming,MIT Press,2009,0262033844,9780262033848,en,1312,3rd Edition,4.36,20000,3,https://covers.openlibrary.org/b/isbn/9780262033848-L.jpg,"The comprehensive reference known as CLRS, covering algorithm design, analysis, and a broad range of algorithms in depth.",Open Library,9780262033848,https://openlibrary.org/isbn/9780262033848
Cracking the Coding Interview,189 Programming Questions and Solutions,Gayle Laakmann McDowell,Computer Science; Programming; Career,CareerCup,2015,0984782850,9780984782857,en,687,6th Edition,4.26,45000,3,https://covers.openlibrary.org/b/isbn/9780984782857-L.jpg,A guide to technical interview preparation with worked solutions to common coding interview problems.,Open Library,9780984782857,https://openlibrary.org/isbn/9780984782857
Effective Java,,Joshua Bloch,Computer Science; Programming; Java,Addison-Wesley,2018,0134685997,9780134685991,en,412,3rd Edition,4.5,15000,2,https://covers.openlibrary.org/b/isbn/9780134685991-L.jpg,"Best practices for the Java platform, covering language features, libraries, and idioms for robust, maintainable code.",Open Library,9780134685991,https://openlibrary.org/isbn/9780134685991
